"Codigo","Municipio","mk12Z","mk12p.value","mk12Zc","mk12Corrected p.value","mk12tau","mk12N/N*s","mk12SensSlope"
"3504107","ATIBAIA","-0.815761502693772","0.414636555385449","-0.236110052294058","0.813347273828576","-0.021409956438205","11.9370622269193","-0.000175116991522864"
"3508405","CABREÚVA","6.22360236414162","4.85867558646816e-10","2.00205867016279","0.0452784218825097","0.16330917460861","9.66340259946297","0.00126114764612349"
"3509601","CAMPO LIMPO PAULISTA","-0.926680418412188","0.354092487323734","-0.214433829122313","0.830208763320179","-0.0243204169757842","18.6755487010321","-0.000214613781281224"
"3520509","INDAIATUBA","3.39734489402239","0.000680431492213763","1.98555329476773","0.0470829468490727","0.0891494987540185","2.92762993449892","0.000645066246360806"
"3523909","ITU","6.75427325502973","1.43552975289422e-11","1.92540903872852","0.0541782056961982","0.177233730906047","12.3058393442142","0.00115063831989387"
"3525201","JARINU","4.69538619202123","2.66103492873622e-06","1.5425095559869","0.122949817593411","0.123209496090852","9.26588510035235","0.000927350163423906"
"3525904","JUNDIAÍ","2.22628353167715","0.0259951958532473","0.568707335726099","0.569554768697916","0.0610304727951787","15.3243932091589","0.000651975329402127"
"3528502","MAIRIPORÃ","5.97566596430046","2.2915211375734e-09","2.83918091830754","0.00452295049022332","0.156803439289315","4.42982419016518","0.00128129296293681"
"3545209","SALTO","5.87852129301767","4.13947567427793e-09","1.99502250275197","0.0460404256386019","0.154254408491697","8.68241607246855","0.00104507491011254"
"3556503","VÁRZEA PAULISTA","-0.177434017137792","0.859167489391424","-0.0421264529756116","0.966397892459571","-0.00466054138370523","17.7404235244605","-4.24539576103078e-05"
