"Codigo","Municipio","mk12Z","mk12p.value","mk12Zc","mk12Corrected p.value","mk12tau","mk12N/N*s","mk12SensSlope"
"3504107","ATIBAIA","-5.52977327145331","3.20644940455871e-08","-1.77807394659919","0.0753917107800225","-0.168711018711019","9.67197160904789","-0.00183633996088747"
"3508405","CABREÚVA","0.0229993137349277","0.981650820365564","0.00949010313920385","0.992428106881685","0.00071032571032571","5.87337716255279","-1.31175116790127e-05"
"3509601","CAMPO LIMPO PAULISTA","-6.46905388670196","9.86184259627619e-11","-1.74316363976524","0.0813050347662878","-0.197366597366597","13.7722602429708","-0.00232280269064762"
"3520509","INDAIATUBA","-0.509108265762043","0.610676338316362","-0.251737791957417","0.801243743707713","-0.0155405405405405","4.09000142394128","-0.000172648304334233"
"3523909","ITU","-1.66304914253669","0.0963025989118461","-1.94871226869062","0.0513297958048547","-0.0507449757449757","0.728307406535391","-0.000527860649302106"
"3525201","JARINU","-1.95664532033811","0.0503891827487995","-1.15840128235022","0.24670031609817","-0.0597020097020097","2.85302881435674","-0.000672659909936546"
"3525904","JUNDIAÍ","-0.396667176391285","0.691612908049326","-0.0890390415202672","0.92905088267685","-0.0121101871101871","19.8468495221825","-0.000128739480765457"
"3528502","MAIRIPORÃ","1.09743638994439","0.272450673131592","0.742905838233503","0.457538690810896","0.0334892584892585","2.18218301499025","0.000400366333246031"
"3545209","SALTO","0.485825009882239","0.627091240500874","0.272289107024197","0.785399731251128","0.0148302148302148","3.18345856102238","0.000134838661535897"
"3556503","VÁRZEA PAULISTA","-5.10726735987834","3.26851127862337e-07","-1.09347949090057","0.274183328933509","-0.155821205821206","21.8150344311893","-0.00215946562616946"
