"Codigo","mun","Ano","Mes","Prectotalmes","spi1","spi3","spi6","spi9","spi12","spi15","spi18","spi21","spi24"
1,"Bacia (Valor médio)",1961,1,148.550620937275,-1.17776597273917,NA,NA,NA,NA,NA,NA,NA,NA
1,"Bacia (Valor médio)",1961,2,166.412922367779,-0.0758252004356294,NA,NA,NA,NA,NA,NA,NA,NA
1,"Bacia (Valor médio)",1961,3,119.380117313596,-0.440097819138327,-1.12841948506607,NA,NA,NA,NA,NA,NA,NA
1,"Bacia (Valor médio)",1961,4,100.381979519088,0.702498162712683,-0.152798035068088,NA,NA,NA,NA,NA,NA,NA
1,"Bacia (Valor médio)",1961,5,44.4830257922918,-0.263695262316309,-0.182966718269764,NA,NA,NA,NA,NA,NA,NA
1,"Bacia (Valor médio)",1961,6,18.0454642802108,-0.571612654281433,-0.153033001976006,-0.974689533310268,NA,NA,NA,NA,NA,NA
1,"Bacia (Valor médio)",1961,7,1.48961908409418,-1.67802415089013,-1.26325700132505,-0.781473554813357,NA,NA,NA,NA,NA,NA
1,"Bacia (Valor médio)",1961,8,11.8511613640851,-0.274961921968623,-1.85279286048806,-0.956666113387101,NA,NA,NA,NA,NA,NA
1,"Bacia (Valor médio)",1961,9,2.55098940276085,-2.3446741900213,-2.42783040917988,-1.28636106563935,-1.60333981033608,NA,NA,NA,NA,NA
1,"Bacia (Valor médio)",1961,10,84.3364811762732,-0.708155731589752,-2.05194914265291,-2.24565443700859,-1.46130783540483,NA,NA,NA,NA,NA
1,"Bacia (Valor médio)",1961,11,137.872530983743,0.00184135999982989,-1.57067711336522,-2.07566760495452,-1.5904463423114,NA,NA,NA,NA,NA
1,"Bacia (Valor médio)",1961,12,176.91404884816,-0.309725027449622,-0.714305242209417,-1.62617036979105,-1.36946976573574,-1.68273582155683,NA,NA,NA,NA
1,"Bacia (Valor médio)",1962,1,118.289669973256,-1.72281899795234,-1.22756321704461,-1.91076173409404,-2.12732590858793,-1.72380208678252,NA,NA,NA,NA
1,"Bacia (Valor médio)",1962,2,208.37845117088,0.466626725211041,-0.896866106355628,-1.52425486453362,-1.97104230307507,-1.71939051060351,NA,NA,NA,NA
1,"Bacia (Valor médio)",1962,3,236.727712258615,1.31205781222279,-0.0294705169387823,-0.491192688639863,-1.17928331148658,-1.13717442163266,-1.48342294567252,NA,NA,NA
1,"Bacia (Valor médio)",1962,4,25.1280578984692,-1.35740246317666,0.626101327200592,-0.516207810358569,-1.22378587459422,-1.49275393109656,-1.41188388909435,NA,NA,NA
1,"Bacia (Valor médio)",1962,5,21.8868723607949,-1.04659980246739,0.0202471489269134,-0.735154246100065,-1.28558669381074,-1.61435654556199,-1.46788178385802,NA,NA,NA
1,"Bacia (Valor médio)",1962,6,35.4254882630834,-0.0684384220029566,-1.19740164691945,-0.665558556087829,-0.886142744498473,-1.42363958232432,-1.35122510256383,-1.64324244521542,NA,NA
1,"Bacia (Valor médio)",1962,7,32.5353493886699,0.0557456555488307,-0.802831599876114,-0.0316340539690555,-0.739362414190139,-1.32927379710565,-1.57727270320542,-1.43495099538234,NA,NA
1,"Bacia (Valor médio)",1962,8,55.5368232854175,0.844788420289121,0.0148402498602855,-0.0539464013200148,-0.678309795003384,-1.16527164648874,-1.48227059317212,-1.38682763550985,NA,NA
1,"Bacia (Valor médio)",1962,9,40.0819560289192,-0.398234454497724,-0.0909818203364466,-0.970238163984917,-0.697780083076518,-0.927531326630519,-1.4213786690674,-1.35483153980506,-1.61971595606766,NA
1,"Bacia (Valor médio)",1962,10,286.168613081238,2.21607377365801,1.61294556270563,0.575448760760563,0.685609737556661,-0.0950449451263069,-0.641228048330706,-0.937788687251636,-0.89233661353318,NA
1,"Bacia (Valor médio)",1962,11,86.0676789251419,-1.14079589649675,0.806193933817446,0.479757608093245,0.314506346536616,-0.333372056656277,-0.81275520077101,-1.1358548582816,-1.09621585614378,NA
1,"Bacia (Valor médio)",1962,12,267.033375526157,0.846862564110289,1.40468201715791,0.90772408021423,0.163193803582478,0.0767420379434034,-0.250357343984684,-0.72047820631586,-0.751667870662268,-1.0797039688774
1,"Bacia (Valor médio)",1963,1,205.500144031283,-0.332233202538737,-0.188807124331514,0.656609404875118,0.190313874682027,0.367958333658156,-0.240872815016541,-0.724442045075157,-0.976363075369164,-0.939398855097428
1,"Bacia (Valor médio)",1963,2,143.103697301137,-0.417941686528393,-0.0565877004574015,0.311294380751194,0.206655581835218,0.142002353544362,-0.401313985721587,-0.831677573414047,-1.13244653806745,-1.11643786508207
1,"Bacia (Valor médio)",1963,3,57.5857821752262,-1.92964492631702,-1.39696483978203,-0.025382394671614,-0.155501962528039,-0.61617645928898,-0.56231006855934,-0.835115007013751,-1.28410588488542,-1.26243331274503
1,"Bacia (Valor médio)",1963,4,24.1897211956189,-1.40294613325662,-2.05292370454349,-1.24865675419597,-0.343950589808164,-0.618392311765111,-0.329081828622343,-0.80179778505537,-1.28280989676627,-1.4881310598225
1,"Bacia (Valor médio)",1963,5,2.8020400672843,-2.67628501791989,-2.89610486655578,-1.2779775687818,-0.751588609455831,-0.705100330905949,-0.627035215850954,-1.02742358609497,-1.39706722691935,-1.64223124019144
1,"Bacia (Valor médio)",1963,6,5.76883540534131,-1.24966038558425,-2.33052103330871,-2.12073267552079,-0.730476936791391,-0.777823653534791,-1.09621469705323,-0.990454572087874,-1.21299341981427,-1.62173332818412
