TipoEstacao,Codigo,Nome,CodigoAdicional,Latitude,Longitude
1,37608000,AÇUDE BELDRUEGA,BBA003,-5.7678,-37.0733
1,37611000,BARRAGEM ARMANDO RIBEIRO - ITAJÁ,,-5.6781,-36.8736
1,37609000,BARRAGEM ARMANDO RIBEIRO - SÃO RAFAEL,,-5.7981,-36.9175
1,37605000,AÇUDE RIO DA PEDRA,BPA1,-5.9756,-36.7039
1,37714700,AÇUDE PATAXÓ,,-5.6181,-36.8311
1,37715100,AÇUDE BOQUEIRÃO DE ANGICOS,,-5.5722,-36.475
1,37721000,AÇUDE NOVO ANGICOS,,-5.6625,-36.5961
1,38155000,AÇUDE POÇO BRANCO,APB001,-5.6333,-35.6547
1,38177000,RIO CEARÁ-MIRIM (PONTO 1),,-5.6217,-35.6053
1,38300000,RIO CEARÁ-MIRIM (PONTO 2),,-5.6706,-35.2483
1,38441000,AÇUDE INHARÉ,AI001,-6.1947,-36.0192
1,38442000,AÇUDE SANTA CRUZ DO TRAIRI,TRA02,-6.2242,-36.03
1,38496500,AÇUDE TRAIRÍ,BTR1,-6.2567,-35.8264
1,38497000,AÇUDE JAPI II,BJA002,-6.3472,-35.7933
1,37518500,BARRAGEM BOQUEIRÃO DE PARELHAS,,-6.6967,-36.6294
1,37146000,AÇUDE CARNAÚBA,,-6.6292,-37.1481
1,37147000,AÇUDE UMARI,BRU01,-5.6983,-37.2431
1,54548500,TEIXEIRINHA - BR 367,FINEP,-16.6275,-41.7878
1,54549000,TEIXEIRINHA JUSANTE - BR 367,FINEP,-16.6258,-41.7878
1,84597300,PCH CAPIVARI JUSANTE,,-28.1175,-48.9714
1,24770000,PCH PIRANHAS JUSANTE,,-16.5864,-51.8156
1,86495000,PCH BOA FÉ JUSANTE,,-28.7561,-51.8347
1,86497000,PCH SÃO PAULO JUSANTE 2,,-28.7892,-51.8511
1,66454800,PCH RONDONÓPOLIS MONTANTE,,-16.6689,-54.7403
1,66454900,PCH RONDONÓPOLIS BARRAMENTO,,-16.6669,-54.7356
1,12390000,PORTO WALTER,ANA,-8.2672,-72.7411
1,12500000,CRUZEIRO DO SUL,ANA,-7.6333,-72.6603
1,12840000,GAVIÃO,,-4.8392,-66.8506
1,12842000,FORTE DAS GRAÇAS,,-3.6406,-66.1025
1,12530000,FAZENDA PARANACRE,,-7.9511,-71.4822
1,12540000,SERINGAL SANTO AMARO,,-7.2667,-70.9833
1,12680000,ENVIRA,,-7.4281,-70.0225
1,12850000,ACANAUI,,-1.8211,-66.6092
1,12843000,VENECIA,4403705,1.5833,-75.5167
1,12843400,LARANDIA,4403709,1.4814,-75.4833
1,12870000,BARREIRINHA,,-2.1003,-66.4169
1,12873000,LARANJAL,,-3.2461,-64.7675
1,12880000,ESTIRÃO DA SANTA CRUZ,,-4.2922,-65.2017
1,62284950,RES. RIO GRANDE (Prainha Parque Estoril),RGDE02851,-23.7717,-46.5139
1,62284960,RES. RIO GRANDE (Rod. Anchieta - Cap. Sabesp),RGDE02900,-23.7711,-46.5342
1,62284970,RES. RIO GRANDE (frente Clube do Banespa),RGDE02902,-23.7778,-46.5117
